level,component_reference,component_name,component_quantity,parent_bom_reference,parent_bom_name,has_child_bom
2,M00055,Alu Profile V-3030 (240mm) [1x M6 thread on BOTH sides],2.00,M00225,EVO/PRO-M - Structure Box 2/2,False
2,M00039,Alu Profile I-6030 (620 mm),2.00,M00225,EVO/PRO-M - Structure Box 2/2,False
2,M00035,Alu Profile I-6030 (1170 mm),3.00,M00225,EVO/PRO-M - Structure Box 2/2,False
2,M00057,Alu Profile V-6060 (830 mm) [4x M6 threads on BOTH sides],1.00,M00225,EVO/PRO-M - Structure Box 2/2,False
2,M00056,Alu Profile V-6060 (1230 mm) [4x M6 threads on BOTH sides],2.00,M00225,EVO/PRO-M - Structure Box 2/2,False
2,M00374,Cable Chain 900mm (Evo/Pro-S/M/L),2.00,M00225,EVO/PRO-M - Structure Box 2/2,False
1,M00341,PRO-M - Linear Motion Box 3/4,1.00,M00657,PRO-M [M0 Use],True
2,M00057,Alu Profile V-6060 (830 mm) [4x M6 threads on BOTH sides],1.00,M00341,PRO-M - Linear Motion Box 3/4,False
2,M00082,Ballscrew SFU1610 1200mm & Nut,2.00,M00341,PRO-M - Linear Motion Box 3/4,False
2,M00083,Ballscrew SFU1610 800mm & Nut,1.00,M00341,PRO-M - Linear Motion Box 3/4,False
2,M00081,Ballscrew SFU1605 250mm & Nut,1.00,M00341,PRO-M - Linear Motion Box 3/4,False
2,M00623,Linear Rail HGR20 (1200mm),2.00,M00341,PRO-M - Linear Motion Box 3/4,False
2,M00625,Linear Rail HGR20 (800mm),2.00,M00341,PRO-M - Linear Motion Box 3/4,False
2,M00624,Linear Rail HGR20 (200mm),2.00,M00341,PRO-M - Linear Motion Box 3/4,False
2,M00070,"PRO - Anti-slip Cover, I-type Alu Profile 1200mm",4.00,M00341,PRO-M - Linear Motion Box 3/4,True
3,M00069,"Anti-slip Cover, I-type Alu Profile",4.80,M00070,"PRO - Anti-slip Cover, I-type Alu Profile 1200mm",False
2,M00385,PRO-S/M – Cable Cover for I-type 6 Profile 800mm,1.00,M00341,PRO-M - Linear Motion Box 3/4,True
3,M00383,Cable Cover for I-type 6 Profile (2m),0.40,M00385,PRO-S/M – Cable Cover for I-type 6 Profile 800mm,False
2,M00294,CNC Pro - 2020 Profile Assembly Gauge - 200mm,2.00,M00341,PRO-M - Linear Motion Box 3/4,False
1,M00325,PRO - Steel Parts Box 4/4,1.00,M00657,PRO-M [M0 Use],True
2,M00323,CNC Pro - Steel Parts - Y Foot Frame,4.00,M00325,PRO - Steel Parts Box 4/4,False
2,M00324,CNC Pro - Steel Parts - Y Gantry,2.00,M00325,PRO - Steel Parts Box 4/4,False
2,M00360,CNC Pro/Fab - Steel Parts - X Nut,1.00,M00325,PRO - Steel Parts Box 4/4,False
2,M00358,CNC Pro/Fab - Steel Parts - Z-Axis Bottom Bearing Plate,1.00,M00325,PRO - Steel Parts Box 4/4,False
2,M00361,CNC Pro/Fab - Steel Parts - Z Plate,1.00,M00325,PRO - Steel Parts Box 4/4,False
2,M00359,CNC Pro/Fab - Steel Parts - Z-axis Top Motor Plate,1.00,M00325,PRO - Steel Parts Box 4/4,False
